id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17217098,San Marco top Floor,115913231,Patrizia,Isole,San Marco,45.4369170884199,12.335128795314539,Entire home/apt,79,2,15,2017-05-04,6.82,1,140
4584355,CA' ORLINA - Terraced apartment behind St. Mark,10189388,Raffaella,Isole,San Marco,45.43543243832627,12.339157706445311,Entire home/apt,150,3,2,2017-03-29,0.11,58,265
1587248,Elegant Romantic Attic in San Marco/Fenice Theatre,5313056,Manuela,Isole,San Marco,45.43440386358171,12.336573585684704,Entire home/apt,133,3,27,2017-01-02,0.62,1,330
14759891,Centralissimo con vista sul Teatro la Fenice,16267348,Elisabetta,Isole,San Marco,45.43383122075948,12.328460686191905,Entire home/apt,320,1,8,2017-05-02,1.15,5,287
9741873,Ca'Nal-PUPPARIN with altana terrace S.Mark view,49990117,Alberta,Isole,San Marco,45.43511696338862,12.338418901429298,Entire home/apt,150,3,4,2017-04-21,0.34,5,326
18153261,The 'Old Venice' Loft in the Heart of S. Marco,42978256,Giuseppe,Isole,San Marco,45.43482244016945,12.339142921400313,Entire home/apt,200,1,2,2017-04-19,2,1,53
5691428,Loft alla Fenice,29271096,Ari,Isole,San Marco,45.433843198875806,12.32995066128248,Entire home/apt,140,2,26,2017-05-01,1.02,9,47
14215352,"Ca Leone 3085, the art district in Venice's heart",20878881,Massimo,Isole,San Marco,45.434115178379926,12.329161593195263,Entire home/apt,132,2,8,2017-05-07,3.04,1,291
17165156,Near San Marco Square apartment 2,104994977,Chicca,Isole,San Marco,45.43581280307918,12.335410985334633,Entire home/apt,236,2,5,2017-05-01,2.11,16,302
7005013,The Venetian Penthouse,3972291,Caroline E Marco,Isole,San Marco,45.434194788151416,12.331410098053212,Entire home/apt,320,4,15,2017-04-21,0.68,49,258
1726877,DolceVita Apartments 118 San Marco,8176475,Eugenia,Isole,San Marco,45.43470042494485,12.32856862660002,Entire home/apt,65,2,1,2017-03-19,0.58,25,320
4497821,Modern flat in the center of Venice,2227088,Gabriele,Isole,San Marco,45.432909975086794,12.329011361156374,Entire home/apt,130,4,28,2017-04-24,1.18,5,330
9458326,Cà Tentor appartamento a Rialto,49013797,Fabiana,Isole,San Marco,45.436958889763154,12.33690333200121,Entire home/apt,120,2,65,2017-05-05,3.75,2,264
492854,"",2426720,Lorenzo,Isole,San Marco,45.43371601328517,12.335180614678471,Entire home/apt,136,3,27,2017-02-27,0.47,5,332
963154,Delightful apartment in San Marco,5240699,Serena,Isole,San Marco,45.43490458224097,12.337974050623512,Entire home/apt,240,3,11,2017-04-17,0.48,3,263
18512662,QUIET AND COZY IN SAN MARCO,128498314,Matteo,Isole,San Marco,45.43381837222739,12.330918256188344,Entire home/apt,180,3,0,,,1,357
16607992,San Marco Apartment,108522998,Moin Uddin,Isole,San Marco,45.43191942015951,12.333507199106101,Entire home/apt,150,2,12,2017-04-20,3.53,3,219
15607868,central flat with view,100618367,Carlotta,Isole,San Marco,45.43256915422354,12.337284635042838,Entire home/apt,109,2,0,,,1,130
13384176,Apartment Surian - Venice 8 People,2634978,Massimo,Isole,San Marco,45.43463728548213,12.339504279562412,Entire home/apt,270,3,16,2017-04-20,1.68,73,230
14462182,"Ca' Remer, fantastic Grand Canal views",669047,ViewsOnVenice,Isole,San Marco,45.4361525859858,12.333252931587484,Entire home/apt,380,3,5,2017-04-20,0.70,43,135
